

# Contour value=5.00 
mPsiT_GeV,deltaM_GeV
3.4473e+02,5.0000e+00
3.5025e+02,5.5728e+00
3.5678e+02,6.1086e+00
3.6332e+02,6.6517e+00
3.6985e+02,7.2324e+00
3.7638e+02,7.8130e+00
3.7781e+02,7.9397e+00
3.8291e+02,9.2240e+00
3.8945e+02,1.0171e+01
3.9598e+02,1.0755e+01
3.9779e+02,1.0879e+01
3.9598e+02,1.1238e+01
3.8945e+02,1.2533e+01
3.8296e+02,1.3819e+01
3.8291e+02,1.3828e+01
3.7638e+02,1.5123e+01
3.6985e+02,1.6417e+01
3.6813e+02,1.6759e+01
3.6332e+02,1.7712e+01
3.5678e+02,1.9007e+01
3.5329e+02,1.9698e+01
3.5122e+02,2.2638e+01
3.5162e+02,2.5578e+01
3.5202e+02,2.8518e+01
3.5055e+02,3.1457e+01
3.5025e+02,3.1719e+01
3.4718e+02,3.4397e+01
3.4380e+02,3.7337e+01
3.4372e+02,3.7411e+01
3.4043e+02,4.0276e+01
3.3719e+02,4.3103e+01
3.3706e+02,4.3216e+01
3.3368e+02,4.6156e+01
3.3065e+02,4.8795e+01
3.3031e+02,4.9095e+01
3.2783e+02,5.2035e+01
3.2784e+02,5.4975e+01
3.2850e+02,5.7915e+01
3.3065e+02,6.0508e+01
3.3094e+02,6.0854e+01
3.3719e+02,6.3565e+01
3.3771e+02,6.3794e+01
3.4372e+02,6.6400e+01
3.4449e+02,6.6734e+01
3.5025e+02,6.9235e+01
3.5126e+02,6.9673e+01
3.5678e+02,7.2070e+01
3.5803e+02,7.2613e+01
3.6332e+02,7.4905e+01
3.6481e+02,7.5553e+01
3.6985e+02,7.7740e+01
3.7158e+02,7.8492e+01
3.7638e+02,8.0575e+01
3.7836e+02,8.1432e+01
3.8291e+02,8.3411e+01
3.8513e+02,8.4372e+01
3.8945e+02,8.6246e+01
3.9190e+02,8.7312e+01
3.9598e+02,8.9081e+01
4.0051e+02,9.0251e+01
4.0251e+02,9.0768e+01
4.0905e+02,9.0620e+01
4.1558e+02,9.0472e+01
4.2202e+02,9.3191e+01
4.1975e+02,9.6131e+01
4.1746e+02,9.9070e+01
4.1704e+02,1.0201e+02
4.1749e+02,1.0495e+02
4.1794e+02,1.0789e+02
4.1839e+02,1.1083e+02
4.1884e+02,1.1377e+02
4.1929e+02,1.1671e+02
4.1974e+02,1.1965e+02
4.2019e+02,1.2259e+02
4.2064e+02,1.2553e+02
4.2109e+02,1.2847e+02
4.2154e+02,1.3141e+02
4.2199e+02,1.3435e+02
4.2211e+02,1.3515e+02
4.2243e+02,1.3729e+02
4.2272e+02,1.4023e+02
4.2286e+02,1.4317e+02
4.2300e+02,1.4611e+02
4.2314e+02,1.4905e+02
4.2513e+02,1.5198e+02
4.2800e+02,1.5492e+02
4.2864e+02,1.5559e+02
4.3087e+02,1.5786e+02
4.3374e+02,1.6080e+02
4.3518e+02,1.6227e+02
4.3661e+02,1.6374e+02
4.3949e+02,1.6668e+02
4.4171e+02,1.6896e+02
4.4236e+02,1.6962e+02
4.4316e+02,1.7256e+02
4.4171e+02,1.7403e+02
4.3782e+02,1.7550e+02
4.3518e+02,1.7650e+02
4.3003e+02,1.7844e+02
4.2864e+02,1.7897e+02
4.2225e+02,1.8138e+02
4.2211e+02,1.8143e+02
4.1558e+02,1.8390e+02
4.1446e+02,1.8432e+02
4.0905e+02,1.8637e+02
4.0667e+02,1.8726e+02
4.0251e+02,1.8883e+02
4.0131e+02,1.9020e+02
3.9874e+02,1.9314e+02
3.9617e+02,1.9608e+02
3.9598e+02,1.9630e+02
3.9430e+02,1.9902e+02
3.9336e+02,2.0196e+02
3.9343e+02,2.0490e+02
3.9393e+02,2.0784e+02
3.9448e+02,2.1078e+02
3.9503e+02,2.1372e+02
3.9558e+02,2.1666e+02
3.9598e+02,2.1881e+02
3.9618e+02,2.1960e+02
3.9695e+02,2.2254e+02
3.9771e+02,2.2548e+02
3.9847e+02,2.2842e+02
3.9923e+02,2.3136e+02
3.9999e+02,2.3430e+02
4.0075e+02,2.3724e+02
4.0151e+02,2.4018e+02
4.0228e+02,2.4312e+02
4.0251e+02,2.4403e+02
4.0387e+02,2.4606e+02
4.0580e+02,2.4899e+02
4.0905e+02,2.5172e+02
4.0930e+02,2.5193e+02
4.1365e+02,2.5487e+02
4.1558e+02,2.5618e+02
4.1799e+02,2.5781e+02
4.2211e+02,2.6061e+02
4.2233e+02,2.6075e+02
4.2667e+02,2.6369e+02
4.2864e+02,2.6503e+02
4.3101e+02,2.6663e+02
4.3518e+02,2.6945e+02
4.3536e+02,2.6957e+02
4.3970e+02,2.7251e+02
4.4171e+02,2.7387e+02
4.4404e+02,2.7545e+02
4.4666e+02,2.7839e+02
4.4794e+02,2.8133e+02
4.4824e+02,2.8210e+02
4.4910e+02,2.8427e+02
4.5026e+02,2.8721e+02
4.5142e+02,2.9015e+02
4.5258e+02,2.9309e+02
4.5375e+02,2.9603e+02
4.5477e+02,2.9863e+02
4.5491e+02,2.9897e+02
4.5601e+02,3.0191e+02
4.5708e+02,3.0485e+02
4.5815e+02,3.0779e+02
4.5922e+02,3.1073e+02
4.6029e+02,3.1367e+02
4.6131e+02,3.1647e+02
4.6136e+02,3.1661e+02
4.6243e+02,3.1955e+02
4.6349e+02,3.2249e+02
4.6456e+02,3.2543e+02
4.6563e+02,3.2837e+02
4.6685e+02,3.3131e+02
4.6784e+02,3.3348e+02
4.6821e+02,3.3425e+02
4.7115e+02,3.3719e+02
4.7423e+02,3.4013e+02
4.7437e+02,3.4026e+02
4.7731e+02,3.4307e+02
4.8039e+02,3.4601e+02
4.8090e+02,3.4649e+02
4.8347e+02,3.4894e+02
4.8471e+02,3.5188e+02
4.8492e+02,3.5482e+02
4.8535e+02,3.5776e+02
4.8592e+02,3.6070e+02
4.8649e+02,3.6364e+02
4.8706e+02,3.6658e+02
4.8744e+02,3.6850e+02
4.8764e+02,3.6952e+02
4.8821e+02,3.7246e+02
4.8878e+02,3.7540e+02
4.8935e+02,3.7834e+02
4.8993e+02,3.8128e+02
4.9050e+02,3.8422e+02
4.9107e+02,3.8716e+02
4.9164e+02,3.9010e+02
4.9222e+02,3.9304e+02
4.9279e+02,3.9598e+02
4.9336e+02,3.9892e+02
4.9376e+02,4.0186e+02
4.9397e+02,4.0357e+02
4.9412e+02,4.0480e+02
4.9448e+02,4.0774e+02
4.9485e+02,4.1068e+02
4.9521e+02,4.1362e+02
4.9557e+02,4.1656e+02
4.9593e+02,4.1950e+02
4.9630e+02,4.2244e+02
4.9666e+02,4.2538e+02
4.9702e+02,4.2832e+02
4.9738e+02,4.3126e+02
4.9775e+02,4.3420e+02
4.9811e+02,4.3714e+02
4.9847e+02,4.4008e+02
4.9883e+02,4.4302e+02
4.9920e+02,4.4595e+02
4.9954e+02,4.4889e+02
4.9985e+02,4.5183e+02
5.0006e+02,4.5477e+02
5.0028e+02,4.5771e+02
5.0050e+02,4.6065e+02
5.0050e+02,4.6074e+02
5.0070e+02,4.6359e+02
5.0090e+02,4.6653e+02
5.0111e+02,4.6947e+02
5.0131e+02,4.7241e+02
5.0151e+02,4.7535e+02
5.0171e+02,4.7829e+02
5.0192e+02,4.8123e+02
5.0212e+02,4.8417e+02
5.0232e+02,4.8711e+02
5.0270e+02,4.9005e+02
5.0305e+02,4.9120e+02


# Contour value=10.00 
mPsiT_GeV,deltaM_GeV
8.0186e+02,5.0000e+00
8.0201e+02,7.9397e+00
8.0296e+02,1.0879e+01
8.0640e+02,1.3819e+01
8.0754e+02,1.4735e+01
8.1004e+02,1.6759e+01
8.1368e+02,1.9698e+01
8.1407e+02,2.0012e+01
8.1732e+02,2.2638e+01
8.2060e+02,2.5289e+01
8.2096e+02,2.5578e+01
8.2460e+02,2.8518e+01
8.2678e+02,3.1457e+01
8.2714e+02,3.2961e+01
8.2748e+02,3.4397e+01
8.2817e+02,3.7337e+01
8.2833e+02,4.0276e+01
8.2811e+02,4.3216e+01
8.2790e+02,4.6156e+01
8.2768e+02,4.9095e+01
8.2747e+02,5.2035e+01
8.2726e+02,5.4975e+01
8.2714e+02,5.6609e+01
8.2704e+02,5.7915e+01
8.2680e+02,6.0854e+01
8.2651e+02,6.3794e+01
8.2622e+02,6.6734e+01
8.2593e+02,6.9673e+01
8.2564e+02,7.2613e+01
8.2535e+02,7.5553e+01
8.2506e+02,7.8492e+01
8.2477e+02,8.1432e+01
8.2448e+02,8.4372e+01
8.2419e+02,8.7312e+01
8.2667e+02,9.0251e+01
8.2714e+02,9.0348e+01
8.3024e+02,9.0251e+01
8.3367e+02,9.0145e+01
8.4020e+02,8.9941e+01
8.4673e+02,8.9738e+01
8.5327e+02,8.9534e+01
8.5980e+02,8.9331e+01
8.6633e+02,8.9127e+01
8.7286e+02,8.8924e+01
8.7940e+02,8.8720e+01
8.8593e+02,8.8517e+01
8.9246e+02,8.8313e+01
8.9899e+02,8.8110e+01
9.0264e+02,9.0251e+01
9.0553e+02,9.1951e+01
9.0730e+02,9.3191e+01
9.1149e+02,9.6131e+01
9.1206e+02,9.6527e+01
9.1569e+02,9.9070e+01
9.1728e+02,1.0201e+02
9.1767e+02,1.0495e+02
