

# Contour value=5.00 
mPsiT_GeV,deltaM_GeV
2.9590e+02,5.0000e+00
2.9748e+02,7.9397e+00
2.9853e+02,1.0879e+01
2.9950e+02,1.2588e+01
3.0047e+02,1.3819e+01
3.0280e+02,1.6759e+01
3.0514e+02,1.9698e+01
3.0747e+02,2.2638e+01
3.0854e+02,2.3997e+01
3.0983e+02,2.5578e+01
3.1219e+02,2.8518e+01
3.1374e+02,3.1457e+01
3.1481e+02,3.4397e+01
3.1651e+02,3.7337e+01
3.1759e+02,3.8940e+01
3.1849e+02,4.0276e+01
3.2046e+02,4.3216e+01
3.2243e+02,4.6156e+01
3.2441e+02,4.9095e+01
3.2638e+02,5.2035e+01
3.2663e+02,5.2410e+01
3.2836e+02,5.4975e+01
3.3033e+02,5.7915e+01
3.3230e+02,6.0854e+01
3.3425e+02,6.3794e+01
3.3568e+02,6.5946e+01
3.3620e+02,6.6734e+01
3.3815e+02,6.9673e+01
3.4011e+02,7.2613e+01
3.4193e+02,7.5553e+01
3.4368e+02,7.8492e+01
3.4472e+02,8.1182e+01
3.4482e+02,8.1432e+01
3.4597e+02,8.4372e+01
3.4711e+02,8.7312e+01
3.4825e+02,9.0251e+01
3.4940e+02,9.3191e+01
3.5054e+02,9.6131e+01
3.5169e+02,9.9070e+01
3.5309e+02,1.0201e+02
3.5377e+02,1.0331e+02
3.5462e+02,1.0495e+02
3.5614e+02,1.0789e+02
3.5767e+02,1.1083e+02
3.5919e+02,1.1377e+02
3.6072e+02,1.1671e+02
3.6224e+02,1.1965e+02
3.6281e+02,1.2075e+02
3.6377e+02,1.2259e+02
3.6529e+02,1.2553e+02
3.6682e+02,1.2847e+02
3.6834e+02,1.3141e+02
3.6988e+02,1.3435e+02
3.7142e+02,1.3729e+02
3.7186e+02,1.3812e+02
3.7298e+02,1.4023e+02
3.7454e+02,1.4317e+02
3.7610e+02,1.4611e+02
3.7766e+02,1.4905e+02
3.7878e+02,1.5198e+02
3.7969e+02,1.5492e+02
3.8059e+02,1.5786e+02
3.8090e+02,1.5887e+02
3.8150e+02,1.6080e+02
3.8240e+02,1.6374e+02
3.8331e+02,1.6668e+02
3.8422e+02,1.6962e+02
3.8512e+02,1.7256e+02
3.8603e+02,1.7550e+02
3.8693e+02,1.7844e+02
3.8784e+02,1.8138e+02
3.8874e+02,1.8432e+02
3.8965e+02,1.8726e+02
3.8995e+02,1.8824e+02
3.9055e+02,1.9020e+02
3.9146e+02,1.9314e+02
3.9244e+02,1.9608e+02
3.9351e+02,1.9902e+02
3.9460e+02,2.0196e+02
3.9548e+02,2.0490e+02
3.9601e+02,2.0784e+02
3.9654e+02,2.1078e+02
3.9707e+02,2.1372e+02
3.9759e+02,2.1666e+02
3.9812e+02,2.1960e+02
3.9865e+02,2.2254e+02
3.9899e+02,2.2447e+02
3.9927e+02,2.2548e+02
4.0007e+02,2.2842e+02
4.0087e+02,2.3136e+02
4.0167e+02,2.3430e+02
4.0247e+02,2.3724e+02
4.0327e+02,2.4018e+02
4.0407e+02,2.4312e+02
4.0487e+02,2.4606e+02
4.0567e+02,2.4899e+02
4.0715e+02,2.5193e+02
4.0804e+02,2.5333e+02
4.0909e+02,2.5487e+02
4.1107e+02,2.5781e+02
4.1306e+02,2.6075e+02
4.1504e+02,2.6369e+02
4.1703e+02,2.6663e+02
4.1709e+02,2.6671e+02
4.1902e+02,2.6957e+02
4.2100e+02,2.7251e+02
4.2299e+02,2.7545e+02
4.2497e+02,2.7839e+02
4.2613e+02,2.8010e+02
4.2696e+02,2.8133e+02
4.2879e+02,2.8427e+02
4.3026e+02,2.8721e+02
4.3126e+02,2.9015e+02
4.3227e+02,2.9309e+02
4.3327e+02,2.9603e+02
4.3427e+02,2.9897e+02
4.3518e+02,3.0071e+02
4.3580e+02,3.0191e+02
4.3762e+02,3.0485e+02
4.3943e+02,3.0779e+02
4.4125e+02,3.1073e+02
4.4307e+02,3.1367e+02
4.4422e+02,3.1553e+02
4.4489e+02,3.1661e+02
