

# Contour value=12.57 
mPsiT_GeV,deltaM_GeV
3.0000e+02,1.6961e+02
3.0019e+02,1.7010e+02
3.0123e+02,1.7281e+02
3.0227e+02,1.7553e+02
3.0331e+02,1.7824e+02
3.0435e+02,1.8095e+02
3.0539e+02,1.8367e+02
3.0643e+02,1.8638e+02
3.0747e+02,1.8910e+02
3.0851e+02,1.9181e+02
3.0955e+02,1.9452e+02
3.1059e+02,1.9724e+02
3.1163e+02,1.9995e+02
3.1231e+02,2.0266e+02
3.1298e+02,2.0538e+02
3.1357e+02,2.0778e+02
3.1364e+02,2.0809e+02
3.1431e+02,2.1080e+02
3.1498e+02,2.1352e+02
3.1565e+02,2.1623e+02
3.1632e+02,2.1894e+02
3.1699e+02,2.2166e+02
3.1766e+02,2.2437e+02
3.1832e+02,2.2709e+02
3.1899e+02,2.2980e+02
3.1966e+02,2.3251e+02
3.2033e+02,2.3523e+02
3.2105e+02,2.3794e+02
3.2184e+02,2.4065e+02
3.2264e+02,2.4337e+02
3.2352e+02,2.4608e+02
3.2439e+02,2.4879e+02
3.2500e+02,2.5151e+02
3.2540e+02,2.5422e+02
3.2579e+02,2.5693e+02
3.2618e+02,2.5965e+02
3.2658e+02,2.6236e+02
3.2697e+02,2.6508e+02
3.2714e+02,2.6620e+02
3.2737e+02,2.6779e+02
3.2776e+02,2.7050e+02
3.2816e+02,2.7322e+02
3.2855e+02,2.7593e+02
3.2900e+02,2.7864e+02
3.2951e+02,2.8136e+02
3.3030e+02,2.8407e+02
3.3137e+02,2.8678e+02
3.3243e+02,2.8950e+02
3.3350e+02,2.9221e+02
3.3456e+02,2.9492e+02
3.3543e+02,2.9764e+02
3.3587e+02,3.0035e+02
3.3631e+02,3.0307e+02
3.3676e+02,3.0578e+02
3.3720e+02,3.0849e+02
3.3761e+02,3.1121e+02
3.3799e+02,3.1392e+02
3.3839e+02,3.1663e+02
3.3859e+02,3.1935e+02
3.3872e+02,3.2206e+02
3.3882e+02,3.2440e+02


# Contour value=15.00 
mPsiT_GeV,deltaM_GeV
3.0000e+02,5.8609e+01
3.0010e+02,5.8844e+01
3.0122e+02,6.1558e+01
3.0235e+02,6.4271e+01
3.0348e+02,6.6985e+01
3.0460e+02,6.9698e+01
3.0573e+02,7.2412e+01
3.0686e+02,7.5126e+01
3.0807e+02,7.7839e+01
3.0930e+02,8.0553e+01
3.1053e+02,8.3266e+01
3.1177e+02,8.5980e+01
3.1300e+02,8.8693e+01
3.1357e+02,8.9943e+01
3.1423e+02,9.1407e+01
3.1547e+02,9.4121e+01
3.1670e+02,9.6834e+01
3.1794e+02,9.9548e+01
3.1900e+02,1.0226e+02
3.2004e+02,1.0497e+02
3.2108e+02,1.0769e+02
3.2211e+02,1.1040e+02
3.2315e+02,1.1312e+02
3.2418e+02,1.1583e+02
3.2522e+02,1.1854e+02
3.2625e+02,1.2126e+02
3.2714e+02,1.2357e+02
3.2729e+02,1.2397e+02
3.2833e+02,1.2668e+02
3.2936e+02,1.2940e+02
3.3040e+02,1.3211e+02
3.3144e+02,1.3482e+02
3.3249e+02,1.3754e+02
3.3354e+02,1.4025e+02
3.3459e+02,1.4296e+02
3.3564e+02,1.4568e+02
3.3670e+02,1.4839e+02
3.3773e+02,1.5111e+02
3.3873e+02,1.5382e+02
3.3973e+02,1.5653e+02
3.4070e+02,1.5917e+02
3.4073e+02,1.5925e+02
3.4173e+02,1.6196e+02
3.4274e+02,1.6467e+02
3.4374e+02,1.6739e+02
3.4474e+02,1.7010e+02
3.4577e+02,1.7281e+02
3.4679e+02,1.7553e+02
3.4782e+02,1.7824e+02
3.4886e+02,1.8095e+02
3.4990e+02,1.8367e+02
3.5094e+02,1.8638e+02
3.5198e+02,1.8910e+02
3.5302e+02,1.9181e+02
3.5406e+02,1.9452e+02
3.5427e+02,1.9507e+02
3.5510e+02,1.9724e+02
3.5614e+02,1.9995e+02
3.5682e+02,2.0266e+02
3.5749e+02,2.0538e+02
3.5815e+02,2.0809e+02
3.5882e+02,2.1080e+02
3.5949e+02,2.1352e+02
3.6016e+02,2.1623e+02
3.6092e+02,2.1894e+02
3.6170e+02,2.2166e+02
3.6254e+02,2.2437e+02
3.6341e+02,2.2709e+02
3.6429e+02,2.2980e+02
3.6516e+02,2.3251e+02
3.6604e+02,2.3523e+02
3.6691e+02,2.3794e+02
3.6779e+02,2.4065e+02
3.6784e+02,2.4081e+02
3.6866e+02,2.4337e+02
3.6954e+02,2.4608e+02
3.7041e+02,2.4879e+02
3.7102e+02,2.5151e+02
3.7142e+02,2.5422e+02
3.7181e+02,2.5693e+02
3.7229e+02,2.5965e+02
3.7291e+02,2.6236e+02
3.7367e+02,2.6508e+02
3.7474e+02,2.6779e+02
3.7580e+02,2.7050e+02
3.7687e+02,2.7322e+02
3.7793e+02,2.7593e+02
3.7900e+02,2.7864e+02
3.8007e+02,2.8136e+02
3.8113e+02,2.8407e+02
3.8141e+02,2.8477e+02
3.8220e+02,2.8678e+02
3.8326e+02,2.8950e+02
3.8433e+02,2.9221e+02
3.8539e+02,2.9492e+02
3.8646e+02,2.9764e+02
3.8730e+02,3.0035e+02
3.8774e+02,3.0307e+02
3.8818e+02,3.0578e+02
3.8863e+02,3.0849e+02
3.8907e+02,3.1121e+02
3.8951e+02,3.1392e+02
3.8995e+02,3.1663e+02
3.9040e+02,3.1935e+02
3.9084e+02,3.2206e+02
3.9128e+02,3.2477e+02
3.9172e+02,3.2749e+02
3.9217e+02,3.3020e+02
3.9261e+02,3.3291e+02
3.9305e+02,3.3563e+02
3.9349e+02,3.3834e+02
3.9392e+02,3.4106e+02
3.9436e+02,3.4377e+02
3.9481e+02,3.4648e+02
3.9497e+02,3.4850e+02
3.9504e+02,3.4920e+02
3.9518e+02,3.5191e+02
3.9532e+02,3.5462e+02
3.9546e+02,3.5734e+02
3.9560e+02,3.6005e+02
3.9575e+02,3.6276e+02
3.9589e+02,3.6548e+02
3.9603e+02,3.6819e+02
3.9617e+02,3.7090e+02
3.9631e+02,3.7362e+02
3.9645e+02,3.7633e+02
3.9659e+02,3.7905e+02
3.9673e+02,3.8176e+02
3.9688e+02,3.8447e+02
3.9702e+02,3.8719e+02
3.9716e+02,3.8990e+02
3.9723e+02,3.9035e+02


# Contour value=20.00 
mPsiT_GeV,deltaM_GeV
3.7123e+02,1.0000e+01
3.7223e+02,1.2714e+01
3.7322e+02,1.5427e+01
3.7422e+02,1.8141e+01
3.7527e+02,2.0854e+01
3.7657e+02,2.3568e+01
3.7801e+02,2.6281e+01
3.7947e+02,2.8995e+01
3.8078e+02,3.1709e+01
3.8141e+02,3.3083e+01
3.8201e+02,3.4422e+01
3.8324e+02,3.7136e+01
3.8447e+02,3.9849e+01
3.8569e+02,4.2563e+01
3.8692e+02,4.5276e+01
3.8815e+02,4.7990e+01
3.8934e+02,5.0704e+01
3.9044e+02,5.3417e+01
3.9154e+02,5.6131e+01
3.9264e+02,5.8844e+01
3.9374e+02,6.1558e+01
3.9484e+02,6.4271e+01
3.9497e+02,6.4596e+01
3.9644e+02,6.6985e+01
3.9811e+02,6.9698e+01
3.9978e+02,7.2412e+01
4.0146e+02,7.5126e+01
4.0328e+02,7.7839e+01
4.0509e+02,8.0553e+01
4.0690e+02,8.3266e+01
4.0854e+02,8.5718e+01
4.0879e+02,8.5980e+01
4.1140e+02,8.8693e+01
4.1401e+02,9.1407e+01
4.1661e+02,9.4121e+01
4.1861e+02,9.6834e+01
4.2021e+02,9.9548e+01
4.2156e+02,1.0226e+02
4.2211e+02,1.0340e+02
4.2287e+02,1.0497e+02
4.2419e+02,1.0769e+02
4.2550e+02,1.1040e+02
4.2720e+02,1.1312e+02
4.2884e+02,1.1583e+02
4.3043e+02,1.1854e+02
4.3227e+02,1.2126e+02
4.3411e+02,1.2397e+02
4.3568e+02,1.2627e+02
4.3596e+02,1.2668e+02
4.3780e+02,1.2940e+02
4.3964e+02,1.3211e+02
4.4148e+02,1.3482e+02
4.4333e+02,1.3754e+02
4.4517e+02,1.4025e+02
4.4701e+02,1.4296e+02
4.4885e+02,1.4568e+02
4.4925e+02,1.4626e+02
