

# Contour value=0.67 
mPsiT_GeV,deltaM_GeV
1.5280e+03,5.0000e+02
1.5277e+03,4.9751e+02
1.5274e+03,4.9503e+02
1.5270e+03,4.9254e+02
1.5267e+03,4.9005e+02
1.5259e+03,4.8756e+02
1.5244e+03,4.8508e+02
1.5226e+03,4.8274e+02
1.5225e+03,4.8259e+02
1.5203e+03,4.8010e+02
1.5181e+03,4.7761e+02
1.5159e+03,4.7513e+02
1.5137e+03,4.7264e+02
1.5115e+03,4.7015e+02
1.5093e+03,4.6766e+02
1.5085e+03,4.6676e+02
1.5073e+03,4.6518e+02
1.5053e+03,4.6269e+02
1.5033e+03,4.6020e+02
1.5012e+03,4.5771e+02
1.4992e+03,4.5523e+02
1.4972e+03,4.5274e+02
1.4945e+03,4.5028e+02
1.4944e+03,4.5025e+02
1.4903e+03,4.4776e+02
1.4870e+03,4.4528e+02
1.4824e+03,4.4279e+02
1.4804e+03,4.4199e+02
1.4775e+03,4.4030e+02
1.4747e+03,4.3781e+02
1.4704e+03,4.3533e+02
1.4663e+03,4.3365e+02
1.4650e+03,4.3284e+02
1.4625e+03,4.3035e+02
1.4586e+03,4.2786e+02
1.4531e+03,4.2538e+02
1.4523e+03,4.2480e+02
1.4505e+03,4.2289e+02
1.4469e+03,4.2040e+02
1.4424e+03,4.1791e+02
1.4388e+03,4.1543e+02
1.4382e+03,4.1497e+02
1.4356e+03,4.1294e+02
1.4317e+03,4.1045e+02
1.4282e+03,4.0796e+02
1.4246e+03,4.0548e+02
1.4241e+03,4.0513e+02
1.4211e+03,4.0299e+02
1.4175e+03,4.0050e+02
1.4148e+03,3.9802e+02
1.4124e+03,3.9553e+02
1.4101e+03,3.9384e+02
1.4092e+03,3.9304e+02
1.4062e+03,3.9055e+02
1.4031e+03,3.8807e+02
1.4001e+03,3.8558e+02
1.3971e+03,3.8309e+02
1.3960e+03,3.8214e+02
1.3950e+03,3.8060e+02
1.3935e+03,3.7812e+02
1.3920e+03,3.7563e+02
1.3905e+03,3.7314e+02
1.3889e+03,3.7065e+02
1.3874e+03,3.6817e+02
1.3859e+03,3.6568e+02
1.3843e+03,3.6319e+02
1.3828e+03,3.6070e+02
1.3819e+03,3.5969e+02
1.3797e+03,3.5822e+02
1.3738e+03,3.5573e+02
1.3679e+03,3.5324e+02
1.3678e+03,3.5320e+02
1.3620e+03,3.5075e+02
1.3574e+03,3.4827e+02
1.3538e+03,3.4603e+02
1.3534e+03,3.4578e+02
1.3493e+03,3.4329e+02
1.3453e+03,3.4080e+02
1.3412e+03,3.3832e+02
1.3397e+03,3.3739e+02
1.3372e+03,3.3583e+02
1.3331e+03,3.3334e+02
1.3291e+03,3.3085e+02
1.3256e+03,3.2875e+02
1.3250e+03,3.2837e+02
1.3210e+03,3.2588e+02
1.3169e+03,3.2339e+02
1.3129e+03,3.2090e+02
1.3116e+03,3.2011e+02
1.3093e+03,3.1842e+02
1.3060e+03,3.1593e+02
1.3026e+03,3.1344e+02
1.2993e+03,3.1095e+02
1.2975e+03,3.0958e+02
1.2967e+03,3.0847e+02
1.2946e+03,3.0598e+02
1.2920e+03,3.0349e+02
1.2886e+03,3.0101e+02
1.2857e+03,2.9852e+02
1.2837e+03,2.9603e+02
1.2834e+03,2.9570e+02
1.2817e+03,2.9354e+02
1.2797e+03,2.9106e+02
1.2778e+03,2.8857e+02
1.2758e+03,2.8608e+02
1.2738e+03,2.8359e+02
1.2718e+03,2.8111e+02
1.2699e+03,2.7862e+02
1.2693e+03,2.7797e+02
1.2679e+03,2.7613e+02
1.2659e+03,2.7364e+02
1.2636e+03,2.7116e+02
1.2604e+03,2.6867e+02
1.2561e+03,2.6618e+02
1.2553e+03,2.6577e+02
1.2507e+03,2.6369e+02
1.2453e+03,2.6121e+02
1.2412e+03,2.5934e+02
1.2399e+03,2.5872e+02
1.2344e+03,2.5623e+02
1.2290e+03,2.5374e+02
1.2271e+03,2.5291e+02
1.2235e+03,2.5126e+02
1.2189e+03,2.4877e+02
1.2152e+03,2.4628e+02
1.2131e+03,2.4482e+02
1.2115e+03,2.4379e+02
1.2077e+03,2.4131e+02
1.2040e+03,2.3882e+02
1.2002e+03,2.3633e+02
1.1990e+03,2.3553e+02
1.1958e+03,2.3384e+02
1.1910e+03,2.3136e+02
1.1862e+03,2.2887e+02
1.1849e+03,2.2821e+02
1.1814e+03,2.2638e+02
1.1766e+03,2.2389e+02
1.1719e+03,2.2141e+02
1.1709e+03,2.2088e+02
1.1671e+03,2.1892e+02
1.1623e+03,2.1643e+02
1.1575e+03,2.1394e+02
1.1568e+03,2.1355e+02
1.1528e+03,2.1146e+02
1.1480e+03,2.0897e+02
1.1432e+03,2.0648e+02
1.1427e+03,2.0623e+02
1.1384e+03,2.0399e+02
1.1336e+03,2.0151e+02
1.1427e+03,2.0115e+02
1.1568e+03,2.0058e+02
1.1709e+03,2.0002e+02
1.1849e+03,1.9946e+02
1.1959e+03,1.9902e+02
1.1990e+03,1.9897e+02
1.2131e+03,1.9793e+02
1.2271e+03,1.9772e+02
1.2412e+03,1.9751e+02
1.2553e+03,1.9731e+02
1.2693e+03,1.9710e+02
1.2834e+03,1.9689e+02
1.2975e+03,1.9669e+02
1.3086e+03,1.9653e+02
1.3116e+03,1.9649e+02
1.3256e+03,1.9630e+02
1.3397e+03,1.9611e+02
1.3538e+03,1.9591e+02
1.3678e+03,1.9572e+02
1.3819e+03,1.9553e+02
1.3930e+03,1.9405e+02
1.3960e+03,1.9336e+02
1.4101e+03,1.9166e+02
1.4202e+03,1.9156e+02
1.4241e+03,1.9152e+02
1.4382e+03,1.9137e+02
1.4523e+03,1.9122e+02
1.4663e+03,1.9108e+02
1.4804e+03,1.9055e+02
1.4826e+03,1.8907e+02
1.4836e+03,1.8658e+02
1.4845e+03,1.8410e+02
1.4855e+03,1.8161e+02
1.4865e+03,1.7912e+02
1.4875e+03,1.7663e+02
1.4885e+03,1.7415e+02
1.4895e+03,1.7166e+02
1.4904e+03,1.6917e+02
1.4914e+03,1.6668e+02
1.4924e+03,1.6420e+02
1.4934e+03,1.6171e+02
1.4944e+03,1.5922e+02
1.4945e+03,1.5901e+02
1.4965e+03,1.5673e+02
1.4986e+03,1.5425e+02
1.5008e+03,1.5176e+02
1.5016e+03,1.4927e+02
1.4979e+03,1.4678e+02
1.4945e+03,1.4561e+02
1.4935e+03,1.4430e+02
1.4932e+03,1.4181e+02
1.4929e+03,1.3932e+02
1.4925e+03,1.3683e+02
1.4918e+03,1.3435e+02
1.4903e+03,1.3186e+02
1.4883e+03,1.2937e+02
1.4882e+03,1.2688e+02
1.4881e+03,1.2440e+02
1.4880e+03,1.2191e+02
1.4879e+03,1.1942e+02
1.4878e+03,1.1693e+02
1.4877e+03,1.1445e+02
1.4876e+03,1.1196e+02
1.4876e+03,1.0947e+02
1.4876e+03,1.0698e+02
1.4876e+03,1.0450e+02
1.4876e+03,1.0201e+02
1.4876e+03,9.9523e+01
1.4876e+03,9.7035e+01
1.4876e+03,9.4548e+01
1.4876e+03,9.2060e+01
1.4876e+03,8.9573e+01
1.4876e+03,8.7085e+01
1.4876e+03,8.4598e+01
1.4876e+03,8.2111e+01
1.4876e+03,7.9623e+01
1.4876e+03,7.7136e+01
1.4876e+03,7.4648e+01
1.4876e+03,7.2161e+01
1.4876e+03,6.9673e+01
1.4876e+03,6.7186e+01
1.4876e+03,6.4698e+01
1.4876e+03,6.2211e+01
1.4876e+03,5.9724e+01
1.4876e+03,5.7236e+01
1.4876e+03,5.4749e+01
1.4876e+03,5.2261e+01
1.4876e+03,4.9774e+01
1.4876e+03,4.7286e+01
1.4876e+03,4.4799e+01
1.4876e+03,4.2312e+01
1.4877e+03,3.9824e+01
1.4878e+03,3.7337e+01
1.4879e+03,3.4849e+01
1.4880e+03,3.2362e+01
1.4882e+03,2.9874e+01
1.4883e+03,2.7387e+01
1.4884e+03,2.4899e+01
1.4888e+03,2.2412e+01
1.4914e+03,1.9925e+01
1.4924e+03,1.7437e+01
1.4930e+03,1.4950e+01
1.4933e+03,1.2462e+01
1.4935e+03,9.9749e+00
1.4945e+03,8.8805e+00
1.4988e+03,7.4874e+00
1.5023e+03,5.0000e+00


# Contour value=1.00 
mPsiT_GeV,deltaM_GeV
1.4746e+03,5.0000e+02
1.4728e+03,4.9751e+02
1.4710e+03,4.9503e+02
1.4693e+03,4.9254e+02
1.4675e+03,4.9005e+02
1.4663e+03,4.8844e+02
1.4657e+03,4.8756e+02
1.4639e+03,4.8508e+02
1.4621e+03,4.8259e+02
1.4604e+03,4.8010e+02
1.4586e+03,4.7761e+02
1.4568e+03,4.7513e+02
1.4548e+03,4.7264e+02
