

# Contour value=0.67 
mPsiT_GeV,deltaM_GeV
1.5280e+03,5.0000e+02
1.5264e+03,4.9754e+02
1.5248e+03,4.9508e+02
1.5232e+03,4.9261e+02
1.5226e+03,4.9169e+02
1.5216e+03,4.9015e+02
1.5200e+03,4.8769e+02
1.5184e+03,4.8523e+02
1.5168e+03,4.8276e+02
1.5152e+03,4.8030e+02
1.5136e+03,4.7784e+02
1.5120e+03,4.7538e+02
1.5104e+03,4.7291e+02
1.5087e+03,4.7045e+02
1.5085e+03,4.7014e+02
1.5070e+03,4.6799e+02
1.5053e+03,4.6553e+02
1.5035e+03,4.6307e+02
1.5017e+03,4.6060e+02
1.5000e+03,4.5814e+02
1.4982e+03,4.5568e+02
1.4966e+03,4.5322e+02
1.4948e+03,4.5075e+02
1.4945e+03,4.5036e+02
1.4929e+03,4.4829e+02
1.4912e+03,4.4583e+02
1.4894e+03,4.4337e+02
1.4876e+03,4.4090e+02
1.4859e+03,4.3844e+02
1.4841e+03,4.3598e+02
1.4823e+03,4.3352e+02
1.4806e+03,4.3106e+02
1.4804e+03,4.3082e+02
1.4788e+03,4.2859e+02
1.4770e+03,4.2613e+02
1.4753e+03,4.2367e+02
1.4735e+03,4.2121e+02
1.4718e+03,4.1874e+02
1.4696e+03,4.1628e+02
1.4663e+03,4.1447e+02
1.4641e+03,4.1382e+02
1.4557e+03,4.1136e+02
1.4523e+03,4.1036e+02
1.4472e+03,4.0889e+02
1.4388e+03,4.0643e+02
1.4382e+03,4.0625e+02
1.4304e+03,4.0397e+02
1.4241e+03,4.0214e+02
1.4219e+03,4.0151e+02
1.4154e+03,3.9905e+02
1.4117e+03,3.9658e+02
1.4101e+03,3.9546e+02
1.4086e+03,3.9412e+02
1.4060e+03,3.9166e+02
1.4034e+03,3.8920e+02
1.4008e+03,3.8673e+02
1.3982e+03,3.8427e+02
1.3960e+03,3.8214e+02
1.3958e+03,3.8181e+02
1.3943e+03,3.7935e+02
1.3928e+03,3.7688e+02
1.3912e+03,3.7442e+02
1.3897e+03,3.7196e+02
1.3882e+03,3.6950e+02
1.3867e+03,3.6704e+02
1.3852e+03,3.6457e+02
1.3837e+03,3.6211e+02
1.3822e+03,3.5965e+02
1.3819e+03,3.5944e+02
1.3773e+03,3.5719e+02
1.3715e+03,3.5472e+02
1.3678e+03,3.5320e+02
1.3656e+03,3.5226e+02
1.3601e+03,3.4980e+02
