# Ratio of SM prediction to data for MATRIX digitized from https://cms-results.web.cern.ch/cms-results/public-results/publications/TOP-20-001/CMS-TOP-20-001_Figure_019-a.png.
mtt [GeV],mtt [GeV] LOW,mtt [GeV] HIGH,Ratio
325.0,250.0,400.0,0.9508196721311476
440.0,400.0,480.0,1.0098360655737706
520.0,480.0,560.0,1.0
600.0,560.0,640.0,1.0065573770491802
680.0,640.0,720.0,1.0065573770491802
760.0,720.0,800.0,0.9967213114754099
850.0,800.0,900.0,1.0360655737704918
950.0,900.0,1000.0,0.9901639344262295
1075.0,1000.0,1150.0,1.0721311475409836
1225.0,1150.0,1300.0,1.0065573770491802
1400.0,1300.0,1500.0,1.1180327868852458
1600.0,1500.0,1700.0,1.0065573770491802
1850.0,1700.0,2000.0,0.980327868852459
2150.0,2000.0,2300.0,1.242622950819672
2900.0,2300.0,3500.0,1.1901639344262294
