# Ratio of SM prediction to data for MG PY8 digitized from https://cms-results.web.cern.ch/cms-results/public-results/publications/TOP-20-001/CMS-TOP-20-001_Figure_019-a.png.
mtt [GeV],mtt [GeV] LOW,mtt [GeV] HIGH,Ratio
325.0,250.0,400.0,1.0983606557377048
440.0,400.0,480.0,1.0786885245901638
520.0,480.0,560.0,1.0032786885245901
600.0,560.0,640.0,1.1213114754098361
680.0,640.0,720.0,1.081967213114754
760.0,720.0,800.0,1.0459016393442622
850.0,800.0,900.0,1.0491803278688525
950.0,900.0,1000.0,0.9868852459016394
1075.0,1000.0,1150.0,1.0590163934426229
1225.0,1150.0,1300.0,0.980327868852459
1400.0,1300.0,1500.0,1.0360655737704918
1600.0,1500.0,1700.0,0.9573770491803278
1850.0,1700.0,2000.0,0.9344262295081968
2150.0,2000.0,2300.0,1.1770491803278689
2900.0,2300.0,3500.0,1.0065573770491802
