

# Contour value=0.67 
mZp_GeV,xsecXBR_pb
5.0000e+03,-2.5200e+00
4.9969e+03,-2.5182e+00
4.9849e+03,-2.5111e+00
4.9698e+03,-2.5023e+00
4.9548e+03,-2.4934e+00
4.9397e+03,-2.4847e+00
4.9353e+03,-2.4822e+00
4.9246e+03,-2.4767e+00
4.9095e+03,-2.4690e+00
4.8945e+03,-2.4627e+00
4.8794e+03,-2.4595e+00
4.8643e+03,-2.4560e+00
4.8492e+03,-2.4532e+00
4.8342e+03,-2.4509e+00
4.8191e+03,-2.4485e+00
4.8051e+03,-2.4463e+00
4.8040e+03,-2.4461e+00
4.7889e+03,-2.4416e+00
4.7739e+03,-2.4363e+00
4.7588e+03,-2.4309e+00
4.7437e+03,-2.4256e+00
4.7286e+03,-2.4211e+00
4.7136e+03,-2.4170e+00
4.6985e+03,-2.4137e+00
4.6834e+03,-2.4151e+00
4.6683e+03,-2.4170e+00
4.6533e+03,-2.4190e+00
4.6382e+03,-2.4210e+00
4.6231e+03,-2.4230e+00
4.6080e+03,-2.4250e+00
4.5930e+03,-2.4332e+00
4.5800e+03,-2.4463e+00
4.5779e+03,-2.4485e+00
4.5628e+03,-2.4617e+00
4.5477e+03,-2.4723e+00
4.5352e+03,-2.4822e+00
4.5327e+03,-2.4849e+00
4.5176e+03,-2.4995e+00
4.5025e+03,-2.5141e+00
4.4997e+03,-2.5182e+00
4.4874e+03,-2.5359e+00
4.4757e+03,-2.5541e+00
4.4724e+03,-2.5592e+00
4.4573e+03,-2.5825e+00
4.4524e+03,-2.5900e+00
4.4422e+03,-2.6074e+00
4.4304e+03,-2.6259e+00
4.4271e+03,-2.6302e+00
4.4121e+03,-2.6500e+00
4.3998e+03,-2.6619e+00
4.3970e+03,-2.6646e+00
4.3907e+03,-2.6619e+00
4.3819e+03,-2.6580e+00
4.3668e+03,-2.6511e+00
4.3518e+03,-2.6437e+00
4.3367e+03,-2.6353e+00
4.3216e+03,-2.6266e+00
4.3204e+03,-2.6259e+00
4.3065e+03,-2.6180e+00
4.2915e+03,-2.5989e+00
4.2865e+03,-2.5900e+00
4.2764e+03,-2.5668e+00
4.2714e+03,-2.5541e+00
4.2613e+03,-2.5305e+00
4.2567e+03,-2.5182e+00
4.2462e+03,-2.4955e+00
4.2402e+03,-2.4822e+00
4.2312e+03,-2.4603e+00
4.2254e+03,-2.4463e+00
4.2161e+03,-2.4295e+00
4.2081e+03,-2.4104e+00
4.2010e+03,-2.3921e+00
4.1920e+03,-2.3745e+00
4.1859e+03,-2.3623e+00
4.1737e+03,-2.3386e+00
4.1709e+03,-2.3318e+00
4.1613e+03,-2.3026e+00
4.1558e+03,-2.2774e+00
4.1535e+03,-2.2667e+00
4.1407e+03,-2.2359e+00
4.1389e+03,-2.2308e+00
4.1256e+03,-2.1968e+00
4.1250e+03,-2.1949e+00
4.1162e+03,-2.1589e+00
4.1106e+03,-2.1356e+00
4.1067e+03,-2.1230e+00
4.0956e+03,-2.0871e+00
4.0955e+03,-2.0867e+00
4.0804e+03,-2.0653e+00
4.0721e+03,-2.0512e+00
4.0653e+03,-2.0431e+00
4.0503e+03,-2.0235e+00
4.0445e+03,-2.0152e+00
4.0352e+03,-2.0053e+00
4.0201e+03,-1.9876e+00
4.0144e+03,-1.9793e+00
4.0050e+03,-1.9627e+00
3.9899e+03,-1.9495e+00
3.9754e+03,-1.9434e+00
3.9749e+03,-1.9432e+00
3.9598e+03,-1.9368e+00
3.9447e+03,-1.9304e+00
3.9296e+03,-1.9242e+00
3.9146e+03,-1.9182e+00
3.8995e+03,-1.9127e+00
3.8844e+03,-1.9093e+00
3.8765e+03,-1.9075e+00
3.8693e+03,-1.9059e+00
3.8543e+03,-1.9027e+00
3.8392e+03,-1.8994e+00
3.8241e+03,-1.8962e+00
3.8090e+03,-1.8930e+00
3.7940e+03,-1.8901e+00
3.7789e+03,-1.8876e+00
3.7638e+03,-1.8853e+00
3.7487e+03,-1.8832e+00
3.7337e+03,-1.8809e+00
3.7186e+03,-1.8784e+00
3.7035e+03,-1.8756e+00
3.6884e+03,-1.8831e+00
3.6734e+03,-1.8922e+00
3.6583e+03,-1.9002e+00
3.6454e+03,-1.9075e+00
3.6432e+03,-1.9090e+00
3.6281e+03,-1.9192e+00
3.6131e+03,-1.9279e+00
3.5980e+03,-1.9356e+00
3.5829e+03,-1.9414e+00
3.5777e+03,-1.9434e+00
3.5678e+03,-1.9476e+00
3.5528e+03,-1.9537e+00
3.5377e+03,-1.9595e+00
3.5226e+03,-1.9654e+00
3.5075e+03,-1.9714e+00
3.4925e+03,-1.9742e+00
3.4774e+03,-1.9738e+00
3.4623e+03,-1.9740e+00
3.4472e+03,-1.9743e+00
3.4322e+03,-1.9745e+00
3.4171e+03,-1.9749e+00
3.4020e+03,-1.9753e+00
3.3869e+03,-1.9690e+00
3.3719e+03,-1.9617e+00
3.3568e+03,-1.9545e+00
3.3417e+03,-1.9472e+00
3.3338e+03,-1.9434e+00
3.3266e+03,-1.9402e+00
3.3116e+03,-1.9334e+00
3.2965e+03,-1.9233e+00
3.2854e+03,-1.9075e+00
3.2814e+03,-1.9018e+00
3.2663e+03,-1.8804e+00
3.2601e+03,-1.8716e+00
3.2513e+03,-1.8569e+00
3.2385e+03,-1.8356e+00
3.2362e+03,-1.8323e+00
3.2211e+03,-1.8080e+00
3.2165e+03,-1.7997e+00
3.2060e+03,-1.7831e+00
3.1957e+03,-1.7638e+00
3.1910e+03,-1.7547e+00
3.1775e+03,-1.7279e+00
3.1759e+03,-1.7244e+00
3.1631e+03,-1.6919e+00
3.1608e+03,-1.6874e+00
3.1457e+03,-1.6583e+00
3.1447e+03,-1.6560e+00
3.1321e+03,-1.6201e+00
3.1307e+03,-1.6172e+00
3.1168e+03,-1.5842e+00
3.1156e+03,-1.5802e+00
3.1055e+03,-1.5482e+00
3.1005e+03,-1.5336e+00
3.0854e+03,-1.5169e+00
3.0814e+03,-1.5123e+00
3.0704e+03,-1.5016e+00
3.0553e+03,-1.4870e+00
3.0449e+03,-1.4764e+00
3.0402e+03,-1.4711e+00
3.0251e+03,-1.4531e+00
3.0150e+03,-1.4405e+00
3.0101e+03,-1.4351e+00
2.9950e+03,-1.4269e+00
2.9799e+03,-1.4352e+00
2.9704e+03,-1.4405e+00
2.9648e+03,-1.4440e+00
2.9497e+03,-1.4533e+00
2.9347e+03,-1.4620e+00
2.9196e+03,-1.4702e+00
2.9076e+03,-1.4764e+00
2.9045e+03,-1.4781e+00
2.8993e+03,-1.4764e+00
2.8894e+03,-1.4734e+00
2.8744e+03,-1.4630e+00
2.8593e+03,-1.4520e+00
2.8442e+03,-1.4407e+00
2.8439e+03,-1.4405e+00
2.8291e+03,-1.4306e+00
2.8141e+03,-1.4196e+00
2.7990e+03,-1.4084e+00
2.7839e+03,-1.4049e+00
2.7826e+03,-1.4046e+00
2.7688e+03,-1.4015e+00
2.7538e+03,-1.3982e+00
2.7387e+03,-1.3948e+00
2.7236e+03,-1.3915e+00
2.7085e+03,-1.3880e+00
2.6935e+03,-1.3864e+00
2.6784e+03,-1.3874e+00
2.6633e+03,-1.3883e+00
2.6482e+03,-1.3893e+00
2.6332e+03,-1.3902e+00
2.6181e+03,-1.3912e+00
2.6030e+03,-1.3922e+00
2.5939e+03,-1.4046e+00
2.5879e+03,-1.4155e+00
2.5767e+03,-1.4405e+00
2.5729e+03,-1.4491e+00
2.5607e+03,-1.4764e+00
2.5578e+03,-1.4828e+00
2.5442e+03,-1.5123e+00
2.5427e+03,-1.5154e+00
2.5276e+03,-1.5448e+00
2.5259e+03,-1.5482e+00
2.5126e+03,-1.5742e+00
2.5067e+03,-1.5842e+00
2.4975e+03,-1.6000e+00
2.4824e+03,-1.6082e+00
2.4673e+03,-1.6164e+00
2.4606e+03,-1.6201e+00
2.4523e+03,-1.6246e+00
2.4372e+03,-1.6329e+00
2.4221e+03,-1.6411e+00
2.4070e+03,-1.6501e+00
2.3959e+03,-1.6560e+00
2.3920e+03,-1.6580e+00
2.3769e+03,-1.6654e+00
2.3618e+03,-1.6725e+00
2.3467e+03,-1.6794e+00
2.3317e+03,-1.6860e+00
2.3179e+03,-1.6919e+00
2.3166e+03,-1.6926e+00
2.3015e+03,-1.6994e+00
2.2984e+03,-1.6919e+00
2.2864e+03,-1.6627e+00
2.2842e+03,-1.6560e+00
2.2723e+03,-1.6201e+00
2.2714e+03,-1.6174e+00
2.2608e+03,-1.5842e+00
2.2563e+03,-1.5696e+00
2.2503e+03,-1.5482e+00
2.2418e+03,-1.5123e+00
2.2412e+03,-1.5103e+00
2.2315e+03,-1.4764e+00
2.2261e+03,-1.4535e+00
2.2234e+03,-1.4405e+00
2.2179e+03,-1.4046e+00
2.2111e+03,-1.3709e+00
2.2106e+03,-1.3686e+00
2.2038e+03,-1.3327e+00
2.1963e+03,-1.2968e+00
2.1960e+03,-1.2951e+00
2.1809e+03,-1.2616e+00
2.1806e+03,-1.2609e+00
2.1692e+03,-1.2249e+00
2.1658e+03,-1.2173e+00
2.1534e+03,-1.1890e+00
2.1508e+03,-1.1813e+00
2.1417e+03,-1.1531e+00
2.1357e+03,-1.1289e+00
2.1328e+03,-1.1172e+00
2.1206e+03,-1.0853e+00
2.1194e+03,-1.0812e+00
2.1072e+03,-1.0453e+00
2.1055e+03,-1.0385e+00
2.0919e+03,-1.0094e+00
2.0905e+03,-1.0063e+00
2.0754e+03,-9.9150e-01
2.0603e+03,-9.7669e-01
2.0570e+03,-9.7348e-01
2.0452e+03,-9.6187e-01
2.0302e+03,-9.4704e-01
2.0205e+03,-9.3756e-01
2.0151e+03,-9.3219e-01
2.0000e+03,-9.1732e-01


# Contour value=1.00 
mZp_GeV,xsecXBR_pb
5.0000e+03,-2.3452e+00
4.9889e+03,-2.3386e+00
4.9849e+03,-2.3362e+00
4.9698e+03,-2.3272e+00
4.9548e+03,-2.3198e+00
4.9397e+03,-2.3121e+00
4.9246e+03,-2.3060e+00
4.9162e+03,-2.3026e+00
4.9095e+03,-2.3000e+00
4.8945e+03,-2.2941e+00
4.8794e+03,-2.2885e+00
4.8643e+03,-2.2831e+00
4.8492e+03,-2.2791e+00
4.8342e+03,-2.2757e+00
4.8191e+03,-2.2729e+00
4.8040e+03,-2.2702e+00
4.7920e+03,-2.2667e+00
4.7889e+03,-2.2658e+00
4.7739e+03,-2.2608e+00
4.7588e+03,-2.2558e+00
4.7437e+03,-2.2521e+00
4.7286e+03,-2.2486e+00
4.7136e+03,-2.2455e+00
4.6985e+03,-2.2427e+00
4.6834e+03,-2.2418e+00
4.6683e+03,-2.2408e+00
4.6533e+03,-2.2399e+00
4.6382e+03,-2.2397e+00
4.6231e+03,-2.2410e+00
4.6080e+03,-2.2422e+00
4.5930e+03,-2.2505e+00
4.5779e+03,-2.2626e+00
4.5727e+03,-2.2667e+00
4.5628e+03,-2.2769e+00
4.5477e+03,-2.2918e+00
4.5362e+03,-2.3026e+00
4.5327e+03,-2.3060e+00
4.5176e+03,-2.3201e+00
4.5025e+03,-2.3343e+00
4.4995e+03,-2.3386e+00
4.4874e+03,-2.3558e+00
4.4752e+03,-2.3745e+00
4.4724e+03,-2.3797e+00
4.4573e+03,-2.4072e+00
4.4555e+03,-2.4104e+00
4.4422e+03,-2.4303e+00
4.4302e+03,-2.4463e+00
4.4271e+03,-2.4505e+00
4.4121e+03,-2.4709e+00
4.4002e+03,-2.4822e+00
4.3970e+03,-2.4858e+00
4.3905e+03,-2.4822e+00
4.3819e+03,-2.4780e+00
4.3668e+03,-2.4713e+00
