

# Contour value=0.67 
mZp_GeV,xsecXBR_pb
3.2985e+03,1.0812e+01
3.2965e+03,1.1996e+01
3.2814e+03,2.0942e+01
3.2803e+03,2.1625e+01
3.2663e+03,2.9925e+01
3.2621e+03,3.2437e+01
3.2513e+03,3.8890e+01
3.2439e+03,4.3250e+01
3.2362e+03,4.7855e+01
3.2257e+03,5.4062e+01
3.2211e+03,5.6820e+01
3.2076e+03,6.4874e+01
3.2060e+03,6.5785e+01
3.1910e+03,7.4749e+01
3.1894e+03,7.5687e+01
3.1759e+03,8.3714e+01
3.1712e+03,8.6499e+01
3.1608e+03,9.2679e+01
3.1530e+03,9.7312e+01
3.1457e+03,1.0164e+02
3.1348e+03,1.0812e+02
3.1307e+03,1.1061e+02
3.1166e+03,1.1894e+02
3.1156e+03,1.1957e+02
3.1005e+03,1.2854e+02
3.0985e+03,1.2975e+02
3.0854e+03,1.3750e+02
3.0803e+03,1.4056e+02
3.0704e+03,1.4647e+02
3.0621e+03,1.5137e+02
3.0553e+03,1.5543e+02
3.0439e+03,1.6219e+02
3.0402e+03,1.6482e+02
3.0264e+03,1.7300e+02
3.0251e+03,1.7407e+02
3.0133e+03,1.8381e+02
3.0101e+03,1.8653e+02
3.0003e+03,1.9462e+02
2.9950e+03,1.9899e+02
2.9872e+03,2.0544e+02
2.9799e+03,2.1145e+02
2.9741e+03,2.1625e+02
2.9648e+03,2.2390e+02
2.9610e+03,2.2706e+02
2.9497e+03,2.3636e+02
2.9479e+03,2.3787e+02
2.9348e+03,2.4869e+02
2.9347e+03,2.4882e+02
2.9218e+03,2.5950e+02
2.9196e+03,2.6128e+02
2.9087e+03,2.7031e+02
2.9045e+03,2.7374e+02
2.8956e+03,2.8112e+02
2.8894e+03,2.8620e+02
2.8825e+03,2.9193e+02
2.8744e+03,2.9866e+02
2.8694e+03,3.0275e+02
2.8593e+03,3.1111e+02
2.8563e+03,3.1356e+02
2.8442e+03,3.2357e+02
2.8433e+03,3.2437e+02
2.8302e+03,3.3518e+02
2.8291e+03,3.3603e+02
2.8171e+03,3.4600e+02
2.8141e+03,3.4849e+02
2.8040e+03,3.5681e+02
2.7990e+03,3.6095e+02
2.7909e+03,3.6762e+02
2.7839e+03,3.7341e+02
2.7778e+03,3.7843e+02
2.7688e+03,3.8587e+02
