# mPsiT, mSDM, CrossSection_pb, Error_pb
175.0, 166.0, -5.848910e-01, 6.150459e-04
190.0, 180.0, -4.961860e-01, 5.217344e-04
200.0, 190.0, -4.478050e-01, 4.709570e-04
210.0, 200.0, -4.062030e-01, 4.099127e-04
225.0, 214.0, -3.538250e-01, 3.720567e-04
250.0, 238.0, -2.865950e-01, 3.012585e-04
300.0, 285.0, -1.990917e-01, 2.777004e-04
400.0, 380.0, -1.119467e-01, 1.176949e-04
500.0, 475.0, -7.164890e-02, 7.533349e-05
600.0, 570.0, -4.975600e-02, 5.230525e-05
700.0, 665.0, -3.655500e-02, 3.842908e-05
800.0, 760.0, -2.798770e-02, 2.941929e-05
900.0, 855.0, -2.211411e-02, 2.324590e-05
1000.0, 950.0, -1.791248e-02, 1.882843e-05
1150.0, 1092.0, -1.354369e-02, 1.423706e-05
1250.0, 1188.0, -1.146363e-02, 1.205054e-05
1350.0, 1282.0, -9.828350e-03, 1.033107e-05
1500.0, 1425.0, -7.960880e-03, 8.367874e-06
2000.0, 1900.0, -4.478070e-03, 4.706809e-06
2500.0, 2375.0, -2.865960e-03, 3.012390e-06
3000.0, 2850.0, -1.990221e-03, 2.091893e-06
4000.0, 3800.0, -1.119468e-03, 1.176751e-06
5000.0, 4750.0, -7.164890e-04, 7.531074e-07
6000.0, 5700.0, -4.975600e-04, 5.230030e-07
7000.0, 6650.0, -3.655510e-04, 3.842413e-07
8000.0, 7600.0, -2.798770e-04, 2.941830e-07
9000.0, 8550.0, -2.211412e-04, 2.324491e-07
10000.0, 9500.0, -1.791149e-04, 1.882744e-07
20000.0, 19000.0, -4.478070e-05, 4.706908e-08
30000.0, 28500.0, -1.990221e-05, 2.091992e-08
40000.0, 38000.0, -1.119468e-05, 1.176751e-08
50000.0, 47500.0, -7.164890e-06, 7.531173e-09
60000.0, 57000.0, -4.975600e-06, 5.230030e-09
70000.0, 66500.0, -3.655510e-06, 3.842413e-09
80000.0, 76000.0, -2.798770e-06, 2.941830e-09
90000.0, 85500.0, -2.211412e-06, 2.324491e-09
100000.0, 95000.0, -1.791149e-06, 1.882744e-09
