# mPsiT, mSDM, CrossSection_pb, Error_pb
175.0, 166.0, 7.467700e-02, 1.114500e-04
190.0, 180.0, 6.335100e-02, 9.454800e-05
200.0, 190.0, 5.717400e-02, 8.533000e-05
210.0, 200.0, 5.185900e-02, 7.739600e-05
225.0, 214.0, 4.517500e-02, 6.742000e-05
250.0, 238.0, 3.659200e-02, 5.461100e-05
300.0, 285.0, 2.541100e-02, 3.792400e-05
400.0, 380.0, 1.429400e-02, 2.133200e-05
500.0, 475.0, 9.147900e-03, 1.365300e-05
600.0, 570.0, 6.352700e-03, 9.481000e-06
700.0, 665.0, 4.667300e-03, 6.965700e-06
800.0, 760.0, 3.573400e-03, 5.333100e-06
900.0, 855.0, 2.823400e-03, 4.213900e-06
1000.0, 950.0, 2.287000e-03, 3.413200e-06
1150.0, 1092.0, 1.729300e-03, 2.580900e-06
1250.0, 1188.0, 1.463700e-03, 2.184400e-06
1350.0, 1282.0, 1.254900e-03, 1.872800e-06
1500.0, 1425.0, 1.016400e-03, 1.517000e-06
2000.0, 1900.0, 5.717400e-04, 8.533000e-07
2500.0, 2375.0, 3.659200e-04, 5.461100e-07
3000.0, 2850.0, 2.541100e-04, 3.792400e-07
4000.0, 3800.0, 1.429400e-04, 2.133200e-07
5000.0, 4750.0, 9.147900e-05, 1.365300e-07
6000.0, 5700.0, 6.352700e-05, 9.481000e-08
7000.0, 6650.0, 4.667300e-05, 6.965700e-08
8000.0, 7600.0, 3.573400e-05, 5.333100e-08
9000.0, 8550.0, 2.823400e-05, 4.213900e-08
10000.0, 9500.0, 2.287000e-05, 3.413200e-08
20000.0, 19000.0, 5.717400e-06, 8.533000e-09
30000.0, 28500.0, 2.541100e-06, 3.792400e-09
40000.0, 38000.0, 1.429400e-06, 2.133200e-09
50000.0, 47500.0, 9.147900e-07, 1.365300e-09
60000.0, 57000.0, 6.352700e-07, 9.481000e-10
70000.0, 66500.0, 4.667300e-07, 6.965700e-10
80000.0, 76000.0, 3.573400e-07, 5.333100e-10
90000.0, 85500.0, 2.823400e-07, 4.213900e-10
100000.0, 95000.0, 2.287000e-07, 3.413200e-10
