# mPsiT, mSDM, CrossSection_pb, Error_pb
175.0, 166.0, -9.012000e-01, 3.800000e-03
190.0, 180.0, -6.234000e-01, 2.900000e-03
200.0, 190.0, -4.946000e-01, 3.800000e-03
210.0, 200.0, -4.022000e-01, 3.500000e-03
225.0, 214.0, -3.038000e-01, 3.200000e-03
250.0, 238.0, -2.123000e-01, 2.400000e-03
300.0, 285.0, -1.471000e-01, 1.600000e-03
400.0, 380.0, -9.051000e-02, 6.800000e-04
500.0, 475.0, -6.249000e-02, 3.800000e-04
600.0, 570.0, -4.630000e-02, 2.800000e-04
700.0, 665.0, -3.466000e-02, 1.600000e-04
800.0, 760.0, -2.714000e-02, 1.400000e-04
900.0, 855.0, -2.141000e-02, 9.700000e-05
1000.0, 950.0, -1.748000e-02, 8.500000e-05
1150.0, 1092.0, -1.342000e-02, 6.500000e-05
1250.0, 1188.0, -1.131000e-02, 5.000000e-05
1350.0, 1282.0, -9.701000e-03, 4.500000e-05
1500.0, 1425.0, -7.896000e-03, 3.400000e-05
2000.0, 1900.0, -4.429000e-03, 2.000000e-05
2500.0, 2375.0, -2.853000e-03, 1.300000e-05
3000.0, 2850.0, -1.982000e-03, 9.300000e-06
4000.0, 3800.0, -1.121000e-03, 5.000000e-06
5000.0, 4750.0, -7.180000e-04, 3.200000e-06
6000.0, 5700.0, -4.973000e-04, 2.500000e-06
7000.0, 6650.0, -3.657000e-04, 1.800000e-06
8000.0, 7600.0, -2.802000e-04, 1.300000e-06
9000.0, 8550.0, -2.219000e-04, 9.800000e-07
10000.0, 9500.0, -1.803000e-04, 7.900000e-07
20000.0, 19000.0, -4.463000e-05, 1.900000e-07
30000.0, 28500.0, -2.033000e-05, 8.400000e-08
40000.0, 38000.0, -9.918000e-06, 5.700000e-08
50000.0, 47500.0, -6.341000e-06, 6.700000e-08
60000.0, 57000.0, -9.490000e-06, 1.400000e-07
70000.0, 66500.0, 9.820000e-06, 1.500000e-07
80000.0, 76000.0, 2.182000e-05, 1.100000e-06
90000.0, 85500.0, -4.734000e-05, 4.400000e-07
100000.0, 95000.0, 9.627000e-06, 5.600000e-07
