# mPsiT, mSDM, CrossSection_pb, Error_pb
175.0, 166.0, 6.585000e-02, 6.600000e-04
190.0, 180.0, 7.216000e-02, 6.200000e-04
200.0, 190.0, 7.041000e-02, 5.000000e-04
210.0, 200.0, 6.754000e-02, 5.400000e-04
225.0, 214.0, 6.278000e-02, 4.200000e-04
250.0, 238.0, 5.293000e-02, 3.600000e-04
300.0, 285.0, 3.732000e-02, 2.900000e-04
400.0, 380.0, 1.991000e-02, 1.600000e-04
500.0, 475.0, 1.180000e-02, 9.800000e-05
600.0, 570.0, 7.909000e-03, 5.600000e-05
700.0, 665.0, 5.492000e-03, 4.600000e-05
800.0, 760.0, 4.017000e-03, 3.500000e-05
900.0, 855.0, 3.091000e-03, 2.700000e-05
1000.0, 950.0, 2.479000e-03, 2.100000e-05
1150.0, 1092.0, 1.845000e-03, 1.600000e-05
1250.0, 1188.0, 1.560000e-03, 1.100000e-05
1350.0, 1282.0, 1.305000e-03, 9.700000e-06
1500.0, 1425.0, 1.065000e-03, 6.400000e-06
2000.0, 1900.0, 5.825000e-04, 4.400000e-06
2500.0, 2375.0, 3.689000e-04, 3.200000e-06
3000.0, 2850.0, 2.564000e-04, 1.900000e-06
4000.0, 3800.0, 1.423000e-04, 1.100000e-06
5000.0, 4750.0, 9.117000e-05, 6.900000e-07
6000.0, 5700.0, 6.328000e-05, 4.800000e-07
7000.0, 6650.0, 4.647000e-05, 3.500000e-07
8000.0, 7600.0, 3.558000e-05, 2.700000e-07
9000.0, 8550.0, 2.811000e-05, 2.100000e-07
10000.0, 9500.0, 2.277000e-05, 1.700000e-07
20000.0, 19000.0, 5.684000e-06, 4.300000e-08
30000.0, 28500.0, 2.548000e-06, 2.600000e-08
40000.0, 38000.0, 1.434000e-06, 1.300000e-08
50000.0, 47500.0, 9.620000e-07, 9.100000e-09
60000.0, 57000.0, 9.076000e-07, 1.000000e-08
70000.0, 66500.0, 4.834000e-07, 1.400000e-08
80000.0, 76000.0, 6.909000e-07, 2.200000e-08
90000.0, 85500.0, -5.447000e-07, 3.500000e-08
100000.0, 95000.0, 1.157000e-06, 5.200000e-08
