# mPsiT, mSDM, CrossSection_pb, Error_pb
175.0, 166.0, 5.866540e-01, 6.158100e-04
190.0, 180.0, 4.976770e-01, 4.895456e-04
200.0, 190.0, 4.491490e-01, 4.417696e-04
210.0, 200.0, 4.073920e-01, 4.008133e-04
225.0, 214.0, 3.548870e-01, 3.491686e-04
250.0, 238.0, 2.874590e-01, 2.828435e-04
300.0, 285.0, 1.996248e-01, 2.098164e-04
400.0, 380.0, 1.122895e-01, 1.180291e-04
500.0, 475.0, 7.186500e-02, 7.554507e-05
600.0, 570.0, 4.990560e-02, 5.245901e-05
700.0, 665.0, 3.666520e-02, 3.854137e-05
800.0, 760.0, 2.807180e-02, 2.951122e-05
900.0, 855.0, 2.218060e-02, 2.331567e-05
1000.0, 950.0, 1.796650e-02, 1.888603e-05
1150.0, 1092.0, 1.358521e-02, 1.427953e-05
1250.0, 1188.0, 1.149892e-02, 1.208497e-05
1350.0, 1282.0, 9.858060e-03, 1.036339e-05
1500.0, 1425.0, 7.984980e-03, 8.393839e-06
2000.0, 1900.0, 4.491570e-03, 4.721063e-06
2500.0, 2375.0, 2.874580e-03, 3.021488e-06
3000.0, 2850.0, 1.996244e-03, 2.098360e-06
4000.0, 3800.0, 1.122893e-03, 1.180290e-06
5000.0, 4750.0, 7.186500e-04, 7.554111e-07
6000.0, 5700.0, 4.990660e-04, 5.245800e-07
7000.0, 6650.0, 3.666620e-04, 3.854038e-07
8000.0, 7600.0, 2.807280e-04, 2.950826e-07
9000.0, 8550.0, 2.218060e-04, 2.331468e-07
10000.0, 9500.0, 1.796649e-04, 1.888504e-07
