# mPsiT, mSDM, CrossSection_pb, Error_pb
175.0, 166.0, 5.418700e-01, 5.689910e-04
190.0, 180.0, 4.596900e-01, 4.827030e-04
200.0, 190.0, 4.148700e-01, 4.356339e-04
210.0, 200.0, 3.763100e-01, 3.951331e-04
225.0, 214.0, 3.278000e-01, 3.442038e-04
250.0, 238.0, 2.655150e-01, 2.788020e-04
300.0, 285.0, 1.843860e-01, 1.936181e-04
400.0, 380.0, 1.037170e-01, 1.089089e-04
500.0, 475.0, 6.637900e-02, 6.970258e-05
600.0, 570.0, 4.609600e-02, 4.821217e-05
700.0, 665.0, 3.386600e-02, 3.556189e-05
800.0, 760.0, 2.592930e-02, 2.722740e-05
900.0, 855.0, 2.048730e-02, 2.151243e-05
1000.0, 950.0, 1.659480e-02, 1.742569e-05
1150.0, 1092.0, 1.254800e-02, 1.317606e-05
1250.0, 1188.0, 1.062060e-02, 1.115227e-05
1350.0, 1282.0, 9.105400e-03, 9.561156e-06
1500.0, 1425.0, 7.375400e-03, 7.744687e-06
2000.0, 1900.0, 4.148700e-03, 4.356339e-06
2500.0, 2375.0, 2.655150e-03, 2.788020e-06
3000.0, 2850.0, 1.843860e-03, 1.936181e-06
4000.0, 3800.0, 1.037170e-03, 1.089089e-06
5000.0, 4750.0, 6.637900e-04, 6.970258e-07
6000.0, 5700.0, 4.609600e-04, 4.821217e-07
7000.0, 6650.0, 3.386600e-04, 3.556189e-07
8000.0, 7600.0, 2.592930e-04, 2.722740e-07
9000.0, 8550.0, 2.048730e-04, 2.151243e-07
10000.0, 9500.0, 1.659480e-04, 1.742569e-07
