# mPsiT, mSDM, CrossSection_pb, Error_pb
175.0, 166.0, 5.825000e-01, 4.800000e-03
190.0, 180.0, 9.339000e-01, 6.200000e-03
200.0, 190.0, 9.535000e-01, 5.500000e-03
210.0, 200.0, 9.292000e-01, 4.900000e-03
225.0, 214.0, 8.368000e-01, 4.100000e-03
250.0, 238.0, 6.708000e-01, 3.100000e-03
300.0, 285.0, 4.062000e-01, 1.700000e-03
400.0, 380.0, 1.791000e-01, 7.200000e-04
500.0, 475.0, 9.800000e-02, 4.000000e-04
600.0, 570.0, 6.238000e-02, 2.600000e-04
700.0, 665.0, 4.316000e-02, 1.900000e-04
800.0, 760.0, 3.173000e-02, 1.300000e-04
900.0, 855.0, 2.435000e-02, 1.100000e-04
1000.0, 950.0, 1.930000e-02, 8.100000e-05
1150.0, 1092.0, 1.432000e-02, 5.700000e-05
1250.0, 1188.0, 1.199000e-02, 4.900000e-05
1350.0, 1282.0, 1.018000e-02, 4.200000e-05
1500.0, 1425.0, 8.233000e-03, 3.600000e-05
2000.0, 1900.0, 4.531000e-03, 1.900000e-05
2500.0, 2375.0, 2.895000e-03, 1.200000e-05
3000.0, 2850.0, 2.019000e-03, 9.100000e-06
4000.0, 3800.0, 1.125000e-03, 5.200000e-06
5000.0, 4750.0, 7.209000e-04, 3.000000e-06
6000.0, 5700.0, 4.994000e-04, 2.200000e-06
7000.0, 6650.0, 3.658000e-04, 1.600000e-06
8000.0, 7600.0, 2.810000e-04, 1.400000e-06
9000.0, 8550.0, 2.218000e-04, 9.600000e-07
10000.0, 9500.0, 1.800000e-04, 8.500000e-07
