# mPsiT, mSDM, CrossSection_pb, Error_pb
175.0, 166.0, 3.141000e-01, 2.500000e-03
190.0, 180.0, 4.257000e-01, 2.400000e-03
200.0, 190.0, 4.440000e-01, 2.300000e-03
210.0, 200.0, 4.351000e-01, 2.100000e-03
225.0, 214.0, 4.111000e-01, 1.900000e-03
250.0, 238.0, 3.544000e-01, 1.600000e-03
300.0, 285.0, 2.497000e-01, 1.100000e-03
400.0, 380.0, 1.348000e-01, 5.400000e-04
500.0, 475.0, 8.211000e-02, 3.300000e-04
600.0, 570.0, 5.424000e-02, 2.200000e-04
700.0, 665.0, 3.869000e-02, 1.800000e-04
800.0, 760.0, 2.884000e-02, 1.300000e-04
900.0, 855.0, 2.237000e-02, 8.500000e-05
1000.0, 950.0, 1.778000e-02, 7.700000e-05
1150.0, 1092.0, 1.326000e-02, 5.600000e-05
1250.0, 1188.0, 1.109000e-02, 4.000000e-05
1350.0, 1282.0, 9.440000e-03, 4.000000e-05
1500.0, 1425.0, 7.620000e-03, 3.200000e-05
2000.0, 1900.0, 4.235000e-03, 1.800000e-05
2500.0, 2375.0, 2.694000e-03, 9.600000e-06
3000.0, 2850.0, 1.853000e-03, 7.600000e-06
4000.0, 3800.0, 1.032000e-03, 4.300000e-06
5000.0, 4750.0, 6.656000e-04, 2.700000e-06
6000.0, 5700.0, 4.578000e-04, 1.900000e-06
7000.0, 6650.0, 3.397000e-04, 1.400000e-06
8000.0, 7600.0, 2.589000e-04, 1.100000e-06
9000.0, 8550.0, 2.041000e-04, 8.400000e-07
10000.0, 9500.0, 1.653000e-04, 6.800000e-07
